Date (TU),Discharge
2022-04-28T02:00:00.000Z,68.2
2022-04-28T03:00:00.000Z,70.3
2022-04-28T04:00:00.000Z,70.9
2022-04-28T05:00:00.000Z,71.1
2022-04-28T06:00:00.000Z,71.1
2022-04-28T07:00:00.000Z,70.5
2022-04-28T08:00:00.000Z,68
2022-04-28T09:00:00.000Z,67
2022-04-28T10:00:00.000Z,67.1
2022-04-28T11:00:00.000Z,67.3
2022-04-28T12:00:00.000Z,67.4
2022-04-28T13:00:00.000Z,67.6
2022-04-28T14:00:00.000Z,67.5
2022-04-28T15:00:00.000Z,65.6
2022-04-28T16:00:00.000Z,67.9
2022-04-28T17:00:00.000Z,73.1
2022-04-28T18:00:00.000Z,82.2
2022-04-28T19:00:00.000Z,99.3
2022-04-28T20:00:00.000Z,110
2022-04-28T21:00:00.000Z,112
2022-04-28T22:00:00.000Z,105
2022-04-28T23:00:00.000Z,96.2
2022-04-29T00:00:00.000Z,84.4
2022-04-29T01:00:00.000Z,70.7
2022-04-29T02:00:00.000Z,63.1
2022-04-29T03:00:00.000Z,55.3
2022-04-29T04:00:00.000Z,48.9
2022-04-29T05:00:00.000Z,44.5
2022-04-29T06:00:00.000Z,38.7
2022-04-29T07:00:00.000Z,33.6
2022-04-29T08:00:00.000Z,33.3
